"activity" "subjectId" "variable" "value"
"LAYING" 21 "meanTimeGravityAccelerationMean-Z" 0.0321851774362745
"LAYING" 21 "meanTimeGravityAccelerationStandardDeviation-X" -0.965586634460784
"LAYING" 21 "meanTimeGravityAccelerationStandardDeviation-Y" -0.969330818455882
"LAYING" 21 "meanTimeGravityAccelerationStandardDeviation-Z" -0.953093993308823
"LAYING" 22 "meanFrequencyBodyAccelerationJerkMean-X" -0.60425320237352
"LAYING" 22 "meanFrequencyBodyAccelerationJerkMean-Y" -0.574318114038941
"LAYING" 22 "meanFrequencyBodyAccelerationJerkMean-Z" -0.739701808286604
"LAYING" 22 "meanFrequencyBodyAccelerationJerkStandardDeviation-X" -0.602457991412617
"LAYING" 22 "meanFrequencyBodyAccelerationJerkStandardDeviation-Y" -0.576391814080349
"LAYING" 22 "meanFrequencyBodyAccelerationJerkStandardDeviation-Z" -0.780252702647975
"LAYING" 22 "meanFrequencyBodyAccelerationMagnitudeMean" -0.574333164853583
"LAYING" 22 "meanFrequencyBodyAccelerationMagnitudeStandardDeviation" -0.673896212809346
"LAYING" 22 "meanFrequencyBodyAccelerationMean-X" -0.594929652065732
"LAYING" 22 "meanFrequencyBodyAccelerationMean-Y" -0.508172778206231
"LAYING" 22 "meanFrequencyBodyAccelerationMean-Z" -0.687320961149533
"LAYING" 22 "meanFrequencyBodyAccelerationStandardDeviation-X" -0.528958812567601
"LAYING" 22 "meanFrequencyBodyAccelerationStandardDeviation-Y" -0.51558097336324
"LAYING" 22 "meanFrequencyBodyAccelerationStandardDeviation-Z" -0.665516999699377
"LAYING" 22 "meanFrequencyBodyBodyAccelerationJerkMagnitudeMean" -0.585442501515888
"LAYING" 22 "meanFrequencyBodyBodyAccelerationJerkMagnitudeStandardDeviation" -0.599286879114019
"LAYING" 22 "meanFrequencyBodyBodyGyroscopeJerkMagnitudeMean" -0.830191956697819
"LAYING" 22 "meanFrequencyBodyBodyGyroscopeJerkMagnitudeStandardDeviation" -0.835597218255452
"LAYING" 22 "meanFrequencyBodyBodyGyroscopeMagnitudeMean" -0.728166770031153
"LAYING" 22 "meanFrequencyBodyBodyGyroscopeMagnitudeStandardDeviation" -0.699600086233645
"LAYING" 22 "meanFrequencyBodyGyroscopeMean-X" -0.639575654479751
"LAYING" 22 "meanFrequencyBodyGyroscopeMean-Y" -0.79139974588785
"LAYING" 22 "meanFrequencyBodyGyroscopeMean-Z" -0.643363339819315
"LAYING" 22 "meanFrequencyBodyGyroscopeStandardDeviation-X" -0.714977903442368
"LAYING" 22 "meanFrequencyBodyGyroscopeStandardDeviation-Y" -0.782046079563863
"LAYING" 22 "meanFrequencyBodyGyroscopeStandardDeviation-Z" -0.690679448900312
"LAYING" 22 "meanTimeBodyAccelerationJerkMagnitudeMean" -0.609772829890966
"LAYING" 22 "meanTimeBodyAccelerationJerkMagnitudeStandardDeviation" -0.589823140414673
"LAYING" 22 "meanTimeBodyAccelerationJerkMean-X" 0.0791031130417757
"LAYING" 22 "meanTimeBodyAccelerationJerkMean-Y" 0.0152572466619626
"LAYING" 22 "meanTimeBodyAccelerationJerkMean-Z" -0.0072287329753271
"LAYING" 22 "meanTimeBodyAccelerationJerkStandardDeviation-X" -0.584963756862305
"LAYING" 22 "meanTimeBodyAccelerationJerkStandardDeviation-Y" -0.560470117123364
"LAYING" 22 "meanTimeBodyAccelerationJerkStandardDeviation-Z" -0.760468444299065
"LAYING" 22 "meanTimeBodyAccelerationMagnitudeMean" -0.504099198287601
"LAYING" 22 "meanTimeBodyAccelerationMagnitudeStandardDeviation" -0.595953853592586
"LAYING" 22 "meanTimeBodyAccelerationMean-X" 0.274767690046106
"LAYING" 22 "meanTimeBodyAccelerationMean-Y" -0.0168273604077383
"LAYING" 22 "meanTimeBodyAccelerationMean-Z" -0.108670376782866
"LAYING" 22 "meanTimeBodyAccelerationStandardDeviation-X" -0.546089975548692
"LAYING" 22 "meanTimeBodyAccelerationStandardDeviation-Y" -0.491188426241526
"LAYING" 22 "meanTimeBodyAccelerationStandardDeviation-Z" -0.65508967878972
"LAYING" 22 "meanTimeBodyGyroscopeJerkMagnitudeMean" -0.794681311214953
"LAYING" 22 "meanTimeBodyGyroscopeJerkMagnitudeStandardDeviation" -0.82649344800623
"LAYING" 22 "meanTimeBodyGyroscopeJerkMean-X" -0.109257561827445
"LAYING" 22 "meanTimeBodyGyroscopeJerkMean-Y" -0.0384616223750156
"LAYING" 22 "meanTimeBodyGyroscopeJerkMean-Z" -0.0582144293519003
"LAYING" 22 "meanTimeBodyGyroscopeJerkStandardDeviation-X" -0.708898710199377
"LAYING" 22 "meanTimeBodyGyroscopeJerkStandardDeviation-Y" -0.859924419844237
"LAYING" 22 "meanTimeBodyGyroscopeJerkStandardDeviation-Z" -0.742272774987539
"LAYING" 22 "meanTimeBodyGyroscopeMagnitudeMean" -0.637666108456075
"LAYING" 22 "meanTimeBodyGyroscopeMagnitudeStandardDeviation" -0.67637856158162
"LAYING" 22 "meanTimeBodyGyroscopeMean-X" -0.00800630644716511
"LAYING" 22 "meanTimeBodyGyroscopeMean-Y" -0.0949661116922118
"LAYING" 22 "meanTimeBodyGyroscopeMean-Z" 0.0812406584647975
"LAYING" 22 "meanTimeBodyGyroscopeStandardDeviation-X" -0.695919202960436
"LAYING" 22 "meanTimeBodyGyroscopeStandardDeviation-Y" -0.784052281090343
"LAYING" 22 "meanTimeBodyGyroscopeStandardDeviation-Z" -0.654458016208723
"LAYING" 22 "meanTimeGravityAccelerationMagnitudeMean" -0.504099198287601
"LAYING" 22 "meanTimeGravityAccelerationMagnitudeStandardDeviation" -0.595953853592586
"LAYING" 22 "meanTimeGravityAccelerationMean-X" 0.609390874922118
"LAYING" 22 "meanTimeGravityAccelerationMean-Y" 0.0315098683115265
"LAYING" 22 "meanTimeGravityAccelerationMean-Z" 0.23588786398215
"LAYING" 22 "meanTimeGravityAccelerationStandardDeviation-X" -0.95850446411215
"LAYING" 22 "meanTimeGravityAccelerationStandardDeviation-Y" -0.957323093436449
"LAYING" 22 "meanTimeGravityAccelerationStandardDeviation-Z" -0.939081026109034
"LAYING" 23 "meanFrequencyBodyAccelerationJerkMean-X" -0.617521836605645
"LAYING" 23 "meanFrequencyBodyAccelerationJerkMean-Y" -0.628231338392742
"LAYING" 23 "meanFrequencyBodyAccelerationJerkMean-Z" -0.578870810235484
"LAYING" 23 "meanFrequencyBodyAccelerationJerkStandardDeviation-X" -0.635054351475538
"LAYING" 23 "meanFrequencyBodyAccelerationJerkStandardDeviation-Y" -0.636977610060753
"LAYING" 23 "meanFrequencyBodyAccelerationJerkStandardDeviation-Z" -0.627540367652688
"LAYING" 23 "meanFrequencyBodyAccelerationMagnitudeMean" -0.529029284118011
"LAYING" 23 "meanFrequencyBodyAccelerationMagnitudeStandardDeviation" -0.657048917971505
"LAYING" 23 "meanFrequencyBodyAccelerationMean-X" -0.599080886430645
"LAYING" 23 "meanFrequencyBodyAccelerationMean-Y" -0.548483208943548
"LAYING" 23 "meanFrequencyBodyAccelerationMean-Z" -0.49021281618414
"LAYING" 23 "meanFrequencyBodyAccelerationStandardDeviation-X" -0.633839114436559
"LAYING" 23 "meanFrequencyBodyAccelerationStandardDeviation-Y" -0.554471679592177
"LAYING" 23 "meanFrequencyBodyAccelerationStandardDeviation-Z" -0.474767543716048
"LAYING" 23 "meanFrequencyBodyBodyAccelerationJerkMagnitudeMean" -0.542663319457527
"LAYING" 23 "meanFrequencyBodyBodyAccelerationJerkMagnitudeStandardDeviation" -0.583832309145968
"LAYING" 23 "meanFrequencyBodyBodyGyroscopeJerkMagnitudeMean" -0.584111049810215
"LAYING" 23 "meanFrequencyBodyBodyGyroscopeJerkMagnitudeStandardDeviation" -0.593735302105376
"LAYING" 23 "meanFrequencyBodyBodyGyroscopeMagnitudeMean" -0.534657191683602
"LAYING" 23 "meanFrequencyBodyBodyGyroscopeMagnitudeStandardDeviation" -0.632288527203763
"LAYING" 23 "meanFrequencyBodyGyroscopeMean-X" -0.685136501518817
"LAYING" 23 "meanFrequencyBodyGyroscopeMean-Y" -0.497783811010484
"LAYING" 23 "meanFrequencyBodyGyroscopeMean-Z" -0.617685416736559
"LAYING" 23 "meanFrequencyBodyGyroscopeStandardDeviation-X" -0.779197054064516
"LAYING" 23 "meanFrequencyBodyGyroscopeStandardDeviation-Y" -0.50785054741371
"LAYING" 23 "meanFrequencyBodyGyroscopeStandardDeviation-Z" -0.644131036807258
"LAYING" 23 "meanTimeBodyAccelerationJerkMagnitudeMean" -0.58640067170914
"LAYING" 23 "meanTimeBodyAccelerationJerkMagnitudeStandardDeviation" -0.55872531418629
"LAYING" 23 "meanTimeBodyAccelerationJerkMean-X" 0.0778588215843817
"LAYING" 23 "meanTimeBodyAccelerationJerkMean-Y" 0.0200470964972984
"LAYING" 23 "meanTimeBodyAccelerationJerkMean-Z" -0.000717680881887096
"LAYING" 23 "meanTimeBodyAccelerationJerkStandardDeviation-X" -0.608183751830914
"LAYING" 23 "meanTimeBodyAccelerationJerkStandardDeviation-Y" -0.61898123051828
"LAYING" 23 "meanTimeBodyAccelerationJerkStandardDeviation-Z" -0.603048769571532
"LAYING" 23 "meanTimeBodyAccelerationMagnitudeMean" -0.532754757205108
"LAYING" 23 "meanTimeBodyAccelerationMagnitudeStandardDeviation" -0.56557562579215
"LAYING" 23 "meanTimeBodyAccelerationMean-X" 0.273493254730108
"LAYING" 23 "meanTimeBodyAccelerationMean-Y" -0.019589258786828
"LAYING" 23 "meanTimeBodyAccelerationMean-Z" -0.109093982385242
"LAYING" 23 "meanTimeBodyAccelerationStandardDeviation-X" -0.622594039757258
"LAYING" 23 "meanTimeBodyAccelerationStandardDeviation-Y" -0.532078546615699
"LAYING" 23 "meanTimeBodyAccelerationStandardDeviation-Z" -0.450557203409946
"LAYING" 23 "meanTimeBodyGyroscopeJerkMagnitudeMean" -0.623412641977151
"LAYING" 23 "meanTimeBodyGyroscopeJerkMagnitudeStandardDeviation" -0.573942888021613
"LAYING" 23 "meanTimeBodyGyroscopeJerkMean-X" -0.0966990737225806
"LAYING" 23 "meanTimeBodyGyroscopeJerkMean-Y" -0.0432722741798387
"LAYING" 23 "meanTimeBodyGyroscopeJerkMean-Z" -0.0621959093526344
"LAYING" 23 "meanTimeBodyGyroscopeJerkStandardDeviation-X" -0.728692138333333
"LAYING" 23 "meanTimeBodyGyroscopeJerkStandardDeviation-Y" -0.546043593651882
"LAYING" 23 "meanTimeBodyGyroscopeJerkStandardDeviation-Z" -0.740518145887097
"LAYING" 23 "meanTimeBodyGyroscopeMagnitudeMean" -0.544207964433387
"LAYING" 23 "meanTimeBodyGyroscopeMagnitudeStandardDeviation" -0.541949073660753
"LAYING" 23 "meanTimeBodyGyroscopeMean-X" -0.0220890418013172
"LAYING" 23 "meanTimeBodyGyroscopeMean-Y" -0.0825972963754032
"LAYING" 23 "meanTimeBodyGyroscopeMean-Z" 0.074694942324328
"LAYING" 23 "meanTimeBodyGyroscopeStandardDeviation-X" -0.755738625241935
"LAYING" 23 "meanTimeBodyGyroscopeStandardDeviation-Y" -0.500338191139785
"LAYING" 23 "meanTimeBodyGyroscopeStandardDeviation-Z" -0.609683451821774
"LAYING" 23 "meanTimeGravityAccelerationMagnitudeMean" -0.532754757205108
"LAYING" 23 "meanTimeGravityAccelerationMagnitudeStandardDeviation" -0.56557562579215
"LAYING" 23 "meanTimeGravityAccelerationMean-X" 0.662324737580645
"LAYING" 23 "meanTimeGravityAccelerationMean-Y" 0.0146209197354839
"LAYING" 23 "meanTimeGravityAccelerationMean-Z" 0.0518662466372043
"LAYING" 23 "meanTimeGravityAccelerationStandardDeviation-X" -0.964393040295699
"LAYING" 23 "meanTimeGravityAccelerationStandardDeviation-Y" -0.960318907096774
"LAYING" 23 "meanTimeGravityAccelerationStandardDeviation-Z" -0.934236146612903
"LAYING" 25 "meanFrequencyBodyAccelerationJerkMean-X" -0.804144642836186
"LAYING" 25 "meanFrequencyBodyAccelerationJerkMean-Y" -0.740570312249389
"LAYING" 25 "meanFrequencyBodyAccelerationJerkMean-Z" -0.849504849486553
"LAYING" 25 "meanFrequencyBodyAccelerationJerkStandardDeviation-X" -0.807712525721271
"LAYING" 25 "meanFrequencyBodyAccelerationJerkStandardDeviation-Y" -0.721707668572127
"LAYING" 25 "meanFrequencyBodyAccelerationJerkStandardDeviation-Z" -0.870541516210269
"LAYING" 25 "meanFrequencyBodyAccelerationMagnitudeMean" -0.69501971
"LAYING" 25 "meanFrequencyBodyAccelerationMagnitudeStandardDeviation" -0.695367928718826
"LAYING" 25 "meanFrequencyBodyAccelerationMean-X" -0.748416509682152
"LAYING" 25 "meanFrequencyBodyAccelerationMean-Y" -0.600027697242054
"LAYING" 25 "meanFrequencyBodyAccelerationMean-Z" -0.738509947579462
"LAYING" 25 "meanFrequencyBodyAccelerationStandardDeviation-X" -0.705223686579951
"LAYING" 25 "meanFrequencyBodyAccelerationStandardDeviation-Y" -0.529064652290954
"LAYING" 25 "meanFrequencyBodyAccelerationStandardDeviation-Z" -0.630224637674572
"LAYING" 25 "meanFrequencyBodyBodyAccelerationJerkMagnitudeMean" -0.779190075892421
"LAYING" 25 "meanFrequencyBodyBodyAccelerationJerkMagnitudeStandardDeviation" -0.783547229755501
"LAYING" 25 "meanFrequencyBodyBodyGyroscopeJerkMagnitudeMean" -0.875970674743276
"LAYING" 25 "meanFrequencyBodyBodyGyroscopeJerkMagnitudeStandardDeviation" -0.877714953691932
"LAYING" 25 "meanFrequencyBodyBodyGyroscopeMagnitudeMean" -0.754236109755501
"LAYING" 25 "meanFrequencyBodyBodyGyroscopeMagnitudeStandardDeviation" -0.697213120366748
"LAYING" 25 "meanFrequencyBodyGyroscopeMean-X" -0.672197763601467
"LAYING" 25 "meanFrequencyBodyGyroscopeMean-Y" -0.81313379207824
"LAYING" 25 "meanFrequencyBodyGyroscopeMean-Z" -0.746832213594132
"LAYING" 25 "meanFrequencyBodyGyroscopeStandardDeviation-X" -0.690398481943765
"LAYING" 25 "meanFrequencyBodyGyroscopeStandardDeviation-Y" -0.723584437530562
"LAYING" 25 "meanFrequencyBodyGyroscopeStandardDeviation-Z" -0.771208929095355
"LAYING" 25 "meanTimeBodyAccelerationJerkMagnitudeMean" -0.783445354474328
"LAYING" 25 "meanTimeBodyAccelerationJerkMagnitudeStandardDeviation" -0.780451867848411
"LAYING" 25 "meanTimeBodyAccelerationJerkMean-X" 0.0817657442063814
"LAYING" 25 "meanTimeBodyAccelerationJerkMean-Y" 0.00638633884442543
"LAYING" 25 "meanTimeBodyAccelerationJerkMean-Z" -0.010346171499489
"LAYING" 25 "meanTimeBodyAccelerationJerkStandardDeviation-X" -0.79682335007335
"LAYING" 25 "meanTimeBodyAccelerationJerkStandardDeviation-Y" -0.722502919364303
"LAYING" 25 "meanTimeBodyAccelerationJerkStandardDeviation-Z" -0.860669382640587
"LAYING" 25 "meanTimeBodyAccelerationMagnitudeMean" -0.583377749713936
"LAYING" 25 "meanTimeBodyAccelerationMagnitudeStandardDeviation" -0.659015505611247
"LAYING" 25 "meanTimeBodyAccelerationMean-X" 0.275301467772127
"LAYING" 25 "meanTimeBodyAccelerationMean-Y" -0.0193221769314914
"LAYING" 25 "meanTimeBodyAccelerationMean-Z" -0.10962903098044
"LAYING" 25 "meanTimeBodyAccelerationStandardDeviation-X" -0.716264537547677
"LAYING" 25 "meanTimeBodyAccelerationStandardDeviation-Y" -0.531421035602689
"LAYING" 25 "meanTimeBodyAccelerationStandardDeviation-Z" -0.64709556105868
"LAYING" 25 "meanTimeBodyGyroscopeJerkMagnitudeMean" -0.849630706259169
"LAYING" 25 "meanTimeBodyGyroscopeJerkMagnitudeStandardDeviation" -0.872776184449878
"LAYING" 25 "meanTimeBodyGyroscopeJerkMean-X" -0.108263884562298
"LAYING" 25 "meanTimeBodyGyroscopeJerkMean-Y" -0.0389884753435208
"LAYING" 25 "meanTimeBodyGyroscopeJerkMean-Z" -0.0555782223647433
"LAYING" 25 "meanTimeBodyGyroscopeJerkStandardDeviation-X" -0.768682473178484
"LAYING" 25 "meanTimeBodyGyroscopeJerkStandardDeviation-Y" -0.902628080757946
"LAYING" 25 "meanTimeBodyGyroscopeJerkStandardDeviation-Z" -0.831848667286064
"LAYING" 25 "meanTimeBodyGyroscopeMagnitudeMean" -0.625733064258924
"LAYING" 25 "meanTimeBodyGyroscopeMagnitudeStandardDeviation" -0.68515279467066
"LAYING" 25 "meanTimeBodyGyroscopeMean-X" -0.00298151164792176
